text,score,T20_type,team,label
"A clinical chase from the world champions! Smith is greeted with handshakes as he walks back to the changing room guiding his team home. Chasing a tricky target of 264, Warner started off positively. But once again Amir and Junaid were superb with the new ball scalping both the openers. In walked the debutant Peter Handscomb to join his skipper at the crease. He didn't come alone - he brought fortune with him. He was caught on nought off Junaid - but the bowler had overstepped. And sooner, he was dropped on 10. After that, he played sensibly with his leader and threaded a 183-run stand for the third wicket. Smith was impeccable bringing up his eighth century and also went past the 3000-run mark in the process. Pakistanis went defensive and that helped the hosts to maneuver past the danger area during the chase. Travis Head provided the finishing touches and ensured that there weren't any hiccups.",Australia won by 7 wkts, ODI,Australia vs Pakistan,3
"This is a win shoplifted. Absolutely stolen. England had done everything right - put on 350 runs on the board, had the hosts reeling at 63/4 until they encountered Virat Kohli. 27th ODI ton for the man who never disappoints. But Kohli wasn't alone in this, for a change. After Yuvraj had been ""unlucky"" at No.4, leg-glancing one straight to the keeper; after Dhoni had failed to finish the innings, not for the first time of late, in walked Jadhav to smack a 65-ball hundred, an effort that bettered Kohli's. Another chase looked to be boiling over but both the set batsmen fell, 28 runs apart, after a mammoth 200-run stand off just 147 balls. India seeked a finisher, India found a finisher.. in Hardik Pandya's unbeaten 40 off 37 balls that sailed them home.",India won by 3 wkts, ODI,India vs England,5
"Roy and Billings provided the flier at the top, and Morgan and Root played with calm heads in the middle to prevent any panic from materializing after Chahal's double strike. The England skipper rotated the strike wonderfully and almost every half-tracker he faced, disappeared. He couldn't have found a steadier partner in Root. India were indisciplined with the new ball causing Kohli to turn to spin early. The move worked as Chahal bowled beautifully but the damage had been done. Arguably, 147 was at least 20 runs light of a par score here, if not more. That's where Moeen Ali's career-best 2/21 set the game up. India kept losing wickets all the way through which never allowed them to have a proper go. Full credit to England. They assessed conditions better than India, found the right lengths - shorter than a good length - and stuck to it.",England won by 7 wkts, T20,India vs England,2
"What a match! What a turnaround from Bumrah and Nehra at the end. The duo were sensational in their use of off-cutters combined with some brilliant yorkers. The off-cutters more so. They bowled them into the pitch which was mightily responsive to such variation. England were cruising when Stokes and Root were going. But it was always going to be about one wicket on this sluggish pitch. All that into consideration, England will feel they should have got home here. Especially after plundering 16 off the penultimate over to leave just 8 to get off the final one. But it was Bumrah's day to emerge as the hero. India are alive in the series.",India won by 5 runs, T20,India vs England,5
"308 was always going to be a difficult target on a pitch where the ball was stopping and holding. But it was made almost improbable with the way South Africa fielded. The hosts were on fire in the field. A couple of brilliant catches, a swift stumping, a run out through a direct hit. They were relentless. Sri Lanka had a promising start but it didn't take long for them to lose their way from 45/1 to 75/4. Chandimal and Gunaratne raised hopes of some sort of recovery but Gunaratne's run out put paid to that. Chandimal's wicket soon afterwards snuffed out any last hope that Sri Lanka had and the game was reduced to a formality around the 25-over mark.",South Africa won by 121 runs, ODI,South Africa vs Sri Lanka,2
"So close yet so far. But Sri Lanka finally played like an international team. After being pulped by du Plessis's career-best effort, Tharanga played like the leader Sri Lanka had craved on this tour. For most part of the innings, they were on top but South Africa had the belief. Such is the cruel story of big chases, nothing is enough. Even a brief phase of couple of wickets can dent prospects and that is what happened. Tahir went for some runs but chipped in with a few wickets when the tourists were closing in on the target. Nonetheless, the loss shouldn't dishearten the Lankans who, perhaps, played their best match on the tour and managed to score their highest ODI total in South Africa.",South Africa won by 40 runs, ODI,South Africa vs Sri Lanka,3
" Chasing 385, they lost 5 wickets inside 15 overs. A 97-run stand between Gunaratne and Pathirana followed, and then the former went all guns blazing towards the end, claiming his maiden ODI ton in the process. South African bowlers, bar Morris, were quite off radar today. Didn't turn up at all. Not particularly impressed with AB's captaincy for he didn't go for the kill once Sri Lanka lost half their side. ",South Africa won by 88 runs, ODI,South Africa vs Sri Lanka,2
"Phew, Sri Lanka win. A target of 170 wasn't intimidating on a good track but those three sixes by Mangaliso Mosehle in the last over threatened to really conspire against a contest. Didn't. Niroshan Dickwella's maiden fifty carried them. And so did Seekkuge Prasanna's cameo of 37 off 16 balls to sail Sri Lanka through. South Africa dropped a lot of catches. Like a lot. There was a time when they dropped three off three consecutive balls - some tough, some not so much. So they can't blame anyone but themselves. A really good game in the end to end an amazing T20I series",Sri Lanka won by 5 wkts, T20,South Africa vs Sri Lanka,4
"Winning is a habit; and if you have not developed it, it comes hard. Bangladesh were 105/1 in the 23rd over. While they were not completely in the driver's seat, they were not lagging either. Chase was on. The two set batsmen were Kayes (43) and Sabbir Rahman (38). Both seemed in no hurry, having bade their time. A horrendous run-out led way for senseless shot making and it was followed by some good deliveries from the hosts. The infamous collapse, which separates nervy teams from consistent ones, was making its presence felt. In the next 10 overs, they lost 6 wickets and added 40! That's it. New Zealand had throttled them. Formalities took a little while to get completed but Bangladesh's fate was sealed much earlier - first signs of which were two set batsmen running towards the same end... in the 23rd over. But remember this was not a self immolation by any stretch. New Zealand ployed that. Never lost the belief and bowled some tight lines. Easy runs were never on offer and that tightened the noose. And when the time was opportune, they cashed in to go 2-0 up in the series!",New Zealand won by 67 runs, ODI,New Zealand vs Bangladesh,4
"New Zealand finish Bangladesh off at a canter to complete a clean sweep. The pair of Williamson and Broom were brilliant in their 179-run partnership after the hosts got off to a slightly rocky start. Latham was dismissed early and Guptill was forced to retire hurt through an unfortunate hamstring injury. Bangladesh had the opportunity to remove Broom for nought, only for Kayes to spill a straightforward catch at slip. There was no coming back from there. At one stage, both batsmen looked set to get a century apiece. Eventually, neither did. Broom was foxed by Mustafizur to end up three runs short, whereas Williamson quite selflessly empowered Neesham to finish the game and himself remained unbeaten on 95.",New Zealand won by 8 wkts, ODI,New Zealand vs Bangladesh,2
"It was a sub-par total that looked all the more timid considering the batting might Australia possessed. But New Zealand started like a dream and before the tourists could realize they were 6 down. Recuperation is a painful process and it was not a different one today. Faulkner was being unlike himself. Took 36 balls to find the fence for the first time but managed to hang in and that is what Stoinis needed. Hope! That he got from his partner and as far as the belief was concerned, he had it much more than any guy playing his second ODI will have. With Faulkner leaving him mid-way, Stoinis unleashed all he had. Was supported by some mediocre fielding efforts and ordinary bowling. But just when it mattered the most, Williamson kept his calm and hit the target to make sure that New Zealand did not lose the greatest ODI match of 2017.",New Zealand won by 6 runs, ODI,New Zealand vs Australia,4
