text,score,T20_type,team,label
"Where did this change? You don't need to be a rocket scientist to know that. The first half of the first innings was all about Gujarat, they were rampaging through SRH bowling like a wild horse and then they ran out of steam. As if the blinkers blinded them. The chariot crashed and never recovered. They did make a momentary comeback when SRH started the chase but Warner came in their way. The Hyderabad skipper found a sensible partner in Vijay Shankar, who displayed icy cool nerves and nudged around with the senior man to see this one through.",Sunrisers Hyderabad won by 8 wkts,T20,Gujarat Lions vs Sunrisers Hyderabad,3
" Where did the game change? Two inflection points: First when Dhoni went berserk with his barrage of sixes, and then when Washington Sundar picked three wickets in two overs of his. So Pune had the momentum on either side of the innings break, and how beautifully did they ride the wave! Mumbai were caught unawares at home against their neighbours who seem to have the wood over them. Three games against Pune this season for Mumbai, and they have lost all three.",Rising Pune Supergiant won by 20 runs, T20,Mumbai Indians vs Rising Pune Supergiant,4
"The much anticipated Bengaluru rains didn't turn up tonight, KKR didn't either. Mumbai Indians continue to remain their nemesis, their bogey team. But full marks to Mumbai. The intensity with which they approached the game and set the field on fire with the ball was something to behold. Some intelligent field placements - getting Lynn like that. Some inspired selections - sticking with Karn over Harbhajan, which eventually proved to be the gamechanger. And some excellent execution. It all boiled down to the horrendous start that KKR had. They lost their footing early on with wickets tumbling everywhere, and were never able to really gain that ground back. Jaggi and Suryakumar led some sort of a recovery, but just when they threatened to take KKR to a score, Mumbai struck back again and closed the innings off for 107. That was never going to be enough, not even with Piyush Chawla bowling the way he did, and not even with Chinnaswamy's sluggish pitch.",Mumbai Indians won by 6 wkts, T20,Mumbai Indians vs Kolkata Knight Riders,4
"So a game that totally makes up for the one-dimensionality of the first game. The target of 155 set by Rajshahi Kings did feel below par on first sighting, given the arduous task of defending with dew on the other side. Kings' bowlers started well actually. Adam Lyth was picked up by Mehidy Hasan in the first over itself while the other opener, Johnson Charles, was pinned in front by Farhad Reza in the fourth. Solid contributions from Mohammad Mithun (46 from 33) and Shahriar Nafees (35 from 34) kept Rangpur in the game, setting the stage for Ravi Bopara and Thisara Perera to seal it in the end with increasing ease.",Rangpur Riders won by 6 wkts, T20,Rajshahi Kings vs Rangpur Riders,3
"Sylhet spoiled things as the match approach its end and had to sweat hard in the end to register their second win. After Tharanga and Fletcher provided a prolific starts, it appeared to be a cakewalk of sorts for them. But some superb spin show from Nabi and Rashid Khan checked the runs in the middle overs to tighten the equation. However, in the end it turned out to be another great day for Sylhet who have now gained an unstoppable momentum.",Sylhet Sixers won by 4 wkts, T20,Sylhet Sixers vs Comilla Victorians,3
"A comprehensive victory for Dhaka Dynamites. Chasing a huge score, Khulna didn't get off to an auspicious start as they lost two early wickets. Walton, though kept going after the bowlers and played one shot too many. He perished for a 13-ball 30 to Shakib. Mahmudullah and Rossouw were dismissed in quick succession and the game was almost sealed there. Khaled Ahmed, on debut, took two wickets and reduced Khulna to 88-7. That's when Archer was joined by Mosharraf Hossain at the crease and together they added 40 runs for the eighth wicket with the former top-scoring with 36. Narine picked two wickets in the end to finish the formalities. Earlier in the evening, Delport and Lewis were involved in a century partnership which helped the Dynamites post a mammoth score of 202.",Dhaka Dynamites won by 65 runs, T20,Khulna Titans vs Dhaka Dynamites,3
"A walk in the park for Rajshahi Kings. After reducing the Riders to a below-par score of 134 on a slowish track, the batsmen didn't put a foot wrong. The Kings' openers - Simmons and Mominul - went after the bowling from the third over after getting their eye in. At the end of the powerplay, they were 48-0. Mortaza and Co. weren't effective with the ball and allowed both the openers to register their respective fifties. The 122-run stand was broken by Thisara Perera who picked two wickets within a span of 4 balls, but the damage was already done. The Kings won with 20 balls to spare.",Rajshahi Kings won by 8 wkts,T20,Rangpur Riders vs Rajshahi Kings,4
"Wow! The table toppers have been massacred by the home team. Just imagine what would have been their case if Sylhet's final pair had not added those 40+ runs. Chasing a below-par score, DD sent out two of their most powerful strikers to open the innings. Afridi went BOOM BOOM straightaway and Lewis joined the party. They raced away to 59 - more than 50% of the target - in four overs. Bresnan struck twice in two balls, but that was the only teeny-tiny phase in the match where the visitors found success (or did they?). Shakib joined Lewis and together they blew apart the Sylhet bowlers. In total, eleven sixes were hit in the innings.",Dhaka Dynamites won by 8 wkts,T20,Dhaka Dynamites vs Sylhet Sixers,3
"A comprehensive win for Khulna Titans after posting an above-par score of 170. The Vikings lost their top four inside five overs. And from there, it was always going to be a tough task for them. Misbah was joined by Raza and they added 49 runs, the latter being the aggressor. Misbah couldn't find his timing and was dismissed for 30 with his strike rate around 80. Reece and Hayder played their shots in the end, but there was no way Chittagong could go past the finishing line.",Khulna Titans won by 18 runs,T20,Chittagong Vikings vs Khulna Titans,3
"The victorians fluffed in the first seven overs, losing both openers and scoring under six, but once Imrul Kayes and Buttler got together there was a spring in the step. The duo injected the much-needed momentum with some clean ball striking and had the asking rate under their grasp. Both fell out looking for biggies, but Samuels 8-ball 17 was the perfect cameo they needed to complete what has been a magnificent night for them. And thus, with this victory they leap to second in the points table.",Comilla Victorians won by 6 wkts,T20,Comilla Victorians vs Chittagong Vikings,3
