text,label
The tail fell apart and the visitors completed a crushing victory, neg
The SA bowlers were good but were defending a total which was under par,neg
New Zealand will rue the batting collapse that took place in the batting powerplay,neg
Nicol dropped him once while Ryder dropped Duminy,neg
"Nethula impressed with two wickets but in the end, Brendon McCullum had a poor score to defend.",neg
"They got off to a poor start and the middle order failed again in the face of some hostile bowling from Steyn, de Lange and Peterson",neg
New Zealand made a fight of it towards the end but the result was never in doubt,neg
"After C Obuya got out, they missed the trick and lost wickets at regular intervals to lose the match by a narrow margin",neg
Shakib Al Hasan then battled until the end but his partners deserted him and he had to fight as the lone ranger for his team,neg
"Sri Lanka failed to put up a challenging total on the board and despite making a few early inroads, the total was just not enough",neg
Canada will find it very difficult to lift themselves up after this loss.,neg
Namibia were never in the game and the 2nd innings was just a mere formality for the Irish who certainly deserved their place in the mega event set to be held in September,neg
"The Irish seemed well on course to canter home, but wickets off successive balls by that man - Zadran again reignited Afghanistan's hopes",neg
"After losing 3 early wickets Samuels and Dwayne Bravo put together an important stand of 64 for the 4th wicket, but Christian provided the much needed breathrough by removing Bravo and rest of the batsmen soon followed him by playing some loose shots",neg
"Sammy showed some fight towards the end, but he had ran out of partners and he was the last batsman to get out.",neg
Powell fell early and the top order got starts,neg
The top order collapsed in the phase of some disciplined bowling by Watson and Doherty,neg
"However, they lost wickets towards the end as the pressure mounted",neg
"Narine was the pick of the bowlers as he went for just 21 runs in 4 overs, but could not pick any wickets",neg
"However, some brilliant fielding from Dwayne Bravo resulted in Warner being run-out and West Indies came back in the game",neg
"Today's match saw fireworks from the South African batsmen and just when the Indian batsmen, especially Gambhir, were beginning to display theirs, rain dampened them out",neg
"Unfortunately, rain had the final laugh, and it meant that South Africa won the game",neg
"Chasing 288 was tough and West Indies needed one batsman to score big, but that didn't happen even though Smith started off aggressively and got to a quickfire fifty",neg
None of the other batsmen supported him well and rain arrived to stop the game,neg
"Upon resumption, Samuels started off well with some big hits, but they soon lost wickets in a heap and folded up cheaply",neg
Darren Bravo also came down the order because of a groin injury and that didn't help their cause,neg
"West Indies never seemed to be in the game, even when Dwayne Bravo, Keiron Pollard and Darren Sammy scored some quick runs in their batting powerplay",neg
"Narine failed to inspire once again and the rest of the bowlers, save for Best, looked flat throughout the day",neg
This is now the lowest T20 total in Sri Lanka,neg
Pakistan's batting was all over the place and none of the batsmen looked very comfortable against the short delivery,neg
Ahmed Shehzad finished up as the highest scorer amongst both teams but his innings of 36 came at a snail's pace and lasted 42 balls,neg
Yet again Pakistan have bowled well but haven't finished up on top owing to some poor shot selection,neg
This match also will be remembered as one of the longest matches played as it was interrupted thrice by rain today and not many overs were reduced,neg
Sri Lanka's batting let them down and they will hope to put up a much better performance in the next ODI.,neg
"Pakistan looked to be in the game when Misbah and Azhar Ali were batting in the middle, but once the skipper fell, the other batsmen followed him back to the pavilion",neg
"After Umar Akmal had to return back thanks to a horrendous decision, the onus was on Afridi to take his side home",neg
"But unfortunately for them, the batting powerplay turned out to be a nightmare as they lost Misbah and then Umar Akmal during that passage of play",neg
It only went from bad to worse as Thissara Perera proceeded to pick a hat-trick in the 41st over and Pakistan collapsed from 166/2 to 199 all out,neg
Sri Lanka stuttered in their chase early as they lost their openers without doing much damage,neg
Then Sanga and Chandimal stitched a partnership and they found it hard to negotiate the spinners in the middle overs,neg
They were also pretty ordinary in the field and too many runs were conceded as a result of which Sri Lankans got away when they needed runs,neg
Ashraful played some good strokes but he played a loose shot and was dismissed,neg
The middle order failed to put up much of a fight,neg
The South Africans were a bit off the boil in the final overs and they will look to overcome that.,neg
"However, in the end, it was a bridge too far for South Africa and they have suffered defeat by 29 runs.",neg
"Gary Kirsten and Allan Donald will have some work, SA did miss some of their stars but their efforts were patchy in this tournament.",neg
It is indeed very disappointing,neg
"Over the past couple of days in the UK, two international matches have been abandoned",neg
"In the end, the rain killed off any chances of further play.",neg
"After they were put in by Australia, they got off to a solid start, but lost quick wickets in the middle",neg
"Wade was playing well for his 27, but a terrible mix-up in the middle cut short his innings and that was the last nail in the coffin for Australia.",neg
Clint McKay bowled with a lot of heart but he found no support from the other bowlers,neg
"Australia were never in the game, and to make it worse, suffered a couple of injury blows too (Watson and Lee)",neg
Nicol tried to be aggressive but he had no support from the other batsmen,neg
Taylor retired hurt on 10 to give New Zealand more anxious moments,neg
"Oram provided a flourish towards the end but in the end, it was a bridge too far for the Kiwis as they lost the match by 56 runs.",neg
New Zealand were never in the game after Narine rattled them early on,neg
New Zealand looked down and out from the first ball and they will have to ask some really tough questions.,neg
The Kiwi bowlers lacked intensity and failed to create pressure.,neg
Guptill started things off on a positive note by getting to his half century but couldn't convert it into a big innings,neg
Williamson and Watling also got half centuries but the lack of support and the lack of quick runs found New Zealand short of the target,neg
"However, there was no support from the other end and in the end New Zealand succumbed to a 24 run defeat",neg
"Only Taylor and Williamson played well, but they didn't get much support from the other end.",neg
"Canada's bowlers and fielders looked quite jaded for most parts of the match, perhaps they couldn't get over the fact that they were actually finally playing a game.",neg
But they were blown away by Nowroz Mangal,neg
The lack of bowling discipline from the Scots cost them in the end,neg
"Kyle Coetzer's fine 133 went in vain, his 1st century at this level.",neg
The match went into the reserve day as most part of yesterday was washed out due to rain,neg
"The play was interrupted again due to rain today and in the end, Scotland who were ahead according to D/L method had to get around 33 runs in less than 7 overs to gain crucial 2 points.",neg
"In the end, the Dutch could not hold on and crumbled against the Irish pace.",neg
Ireland kept the required rate under check for most parts of the chase but couldn't quite finish it off,neg
"Stirling, Joyce and Wilson got starts but at least one of them should have carried on and seen them through.",neg
The pitch was always expected to take turn under the lights and even the part time SA spinners got vicious turn and English batsmen had no answer to that and lost wickets in a heap,neg
"Only Morgan fought a hard battle, but he didn't get any support from the other end",neg
"Samit entertained the crowds with a stroke-filled 45, but that was not enough for them to get anywhere close to the SA total.",neg
The bowling barring Steyn was lacklustre,neg
England got a few early wickets but they could not break this unbeaten 90 run stand,neg
Dernbach and Finn were the pick of the bowlers but no one else supported them.,neg
They were sent into bat after the match was reduced to 11 overs due to rain,neg
Swann and Briggs got the ball to turn viciously and the Proteas never got going,neg
Even their run machine Amla couldn't get the odd boundaries regularly,neg
But overall a poor performance from the Proteas in this series,neg
"But, in the end, the asking rate was too much and Sri Lanka were always behind the eight ball",neg
"Barring Irfan Pathan and Ashwin who bowled well, all the other Indian bowlers were carted around",neg
The Indian fielding was also very sloppy and they have a lot of work to do ahead of the second ODI.,neg
"Manoj Tiwary and Kohli then put on a partnership of 49, before Jeevan Mendis got a brave lbw decision in his favour to dismiss Tiwary",neg
