text,score,match_type,team,label
"Easy chase in the end for New Zealand. Martin Guptill has been in prime form this season and he has helped NZ draw first blood. He got some useful support from Nicol, Brendon and Williamson on the way. The SA bowlers were good but were defending a total which was under par. They will look to do better in the 2nd match at Hamilton.",New Zealand won by 6 wkts,T20,South Africa vs New Zealand,2
"A couple of partnerships was all it needed for South Africa to chase this target and they got exactly that. They were in a bit of bother when they lost their first 3 wickets but de Villiers and JP Duminy put on a steady stand and built a solid platform. Runs were coming mainly in singles and doubles but the asking rate was never allowed to climb beyond comfort. Duminy fell but du Plessis walked in and played his shots, helping himself to a fifty in company of his skipper (who reached a century himself). In the end, it turned out to be a comfortable victory for the visitors.",South Africa won by 6 wkts,ODI,South Africa vs New Zealand,3
"One has to say that the better team won today. South Africa have been better in all disciplines in this series and they have shown it today. New Zealand will rue the batting collapse that took place in the batting powerplay. This total was below-par on a flat track and Amla ensured that South Africa suffered no serious hiccups. His 92 oozed with class and he was helped by some poor fielding from the Kiwis. Nicol dropped him once while Ryder dropped Duminy. Nethula impressed with two wickets but in the end, Brendon McCullum had a poor score to defend.",South Africa won by 6 wkts,ODI,South Africa vs New Zealand,3
"Nothing went right for the Kiwis today at Auckland. They got off to a poor start and the middle order failed again in the face of some hostile bowling from Steyn, de Lange and Peterson. Amla was at his supreme best as he stroked his 18th fifty. Parnell and Albie Morkel also chipped in with some good knocks. New Zealand made a fight of it towards the end but the result was never in doubt. ",South Africa won by 5 wkts,ODI,South Africa vs New Zealand,2
"Another comprehensive win for Ireland. They have managed to chase down the target very easily. Getting 108 was always easy, but they lost quick wickets initially, but Joyce and Kevin O'Brien held the innings together with a solid stand to ensure there were no further hiccups in the chase. Kenya were outclassed in all the departments today and they will be looking to put up a much improved performance in the next match tomorrow.",Ireland won by 6 wkts,T20,Ireland vs Kenya,2
"Easy win for Ireland in the end and they take an unassailable 2-0 lead in this 3-match series. They had rested Ed Joyce today and everyone thought chasing 132 would be difficult, but Stirling batted brilliantly to stay unbeaten till the end and also notched up his highest T20I score. On the other hand Kenyans are still searching for their first win.",Ireland won by 8 wkts,T20,Ireland vs Kenya,3
"A thrilling end to the series. Ireland complete a whitewash and rout Kenya 3-0 in this 3-match T20I series. Defending a low total, they struck at regular intervals to put pressure on Kenya. But C Obuya and Mishra fought pretty well and revived them a bit with a 50 run stand for the 3rd wicket. After C Obuya got out, they missed the trick and lost wickets at regular intervals to lose the match by a narrow margin. Once again Dockrell was the pick of the bowlers. Overall, Ireland will be satisfied by their performance in this tour.",Ireland won by 2 runs,T20,Ireland vs Kenya,4
What an amazing match this turned out to be. A real rollercoaster of a ride. Both sides were in it until the last few overs when Pakistan suddenly took the game away from the hosts. Tamim set up the run chase perfectly for Bangladesh with a half century. Shakib Al Hasan then battled until the end but his partners deserted him and he had to fight as the lone ranger for his team. At the end it was the Gulldozer who came out on top and really just bowled his side to victory courtesy those terrific reverse swinging yorkers.,Pakistan won by 21 runs,ODI,Bangladesh vs Pakistan,5
"Pakistan have outclassed their opponents today. Mahela who has impressed as a captain so far looked absolutely clueless today. Sri Lanka failed to put up a challenging total on the board and despite making a few early inroads, the total was just not enough. Umar Akmal and Misbah steadied the ship after those quick losses and really took their side through till the end. Akmal perished in the process of trying to secure the bonus point but Hammad Azam came in and struck the 5th ball that he faced to the fence to secure that extra point. Sri Lanka have had a dismal Asia Cup so far and now they are more or less out of the tournament. ",Pakistan won by 6 wkts,ODI,Pakistan vs Sri Lanka,3
"A superb chase aided by some dreadful bowling has sealed a famous win. The dew played its part, but full credit to the way the Bangladeshi batsmen applied themselves. Tamim gave them the perfect start and was well supported by Jahurul. Shakib and Rahim played some stunning cameos while Nasir was a revelation.",Bangladesh won by 5 wkts,ODI,Bangladesh vs India,4
The win also makes it Ireland's 7th win in a row. They lost their first match against Namibia but have been unstoppable since. This win is also as comprehensive as it can get. Paul Stirling and Porterfield made light work of the chase after their bowlers' good work. Canada will find it very difficult to lift themselves up after this loss.,Ireland won by 10 wkts,T20,Canada vs Ireland,2
